qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NZ_CP016035|MOBF	contig00070 len=1339 cov=6.5 corr=0 origname=NODE_70_length_1339_cov_6.483713_pilon sw=shovill-spades/1.1.0 date=20260916	268	1339	11	268	277	535	267	33	81.273	96.0	96.0	minus	5.969999999999999e-52	200	oriT
000100__NZ_CP016161_00012|IncFIB	contig00023 len=74141 cov=9.1 corr=0 origname=NODE_23_length_74141_cov_9.089383_pilon sw=shovill-spades/1.1.0 date=20260916	1218	74141	1	1218	7904	9121	1218	19	98.44	100.0	100.0	minus	0.0	2145	replicon
000097__NC_025166_00051|IncFIB	contig00026 len=54246 cov=6.8 corr=1 origname=NODE_26_length_54246_cov_6.767064_pilon sw=shovill-spades/1.1.0 date=20260916	897	54246	1	897	47058	47954	897	0	100.0	100.0	100.0	minus	0.0	1657	replicon
000107__CP014778_00094|IncFIB	contig00029 len=42543 cov=17.7 corr=0 origname=NODE_28_length_42543_cov_17.722238_pilon sw=shovill-spades/1.1.0 date=20260916	1011	42543	1	1011	19840	20850	1011	1	99.901	100.0	100.0	plus	0.0	1862	replicon
000204__CP008701_00115|IncR	contig00042 len=11166 cov=6.9 corr=0 origname=NODE_42_length_11166_cov_6.930529_pilon sw=shovill-spades/1.1.0 date=20260916	894	11166	1	894	5558	6453	896	3	99.442	100.0	100.0	plus	0.0	1626	replicon
CP024554_00008|ColRNAI_rep_cluster_1987	contig00053 len=4278 cov=504.0 corr=0 origname=NODE_53_length_4278_cov_504.039357_pilon sw=shovill-spades/1.1.0 date=20260916	411	4278	3	411	3611	4019	409	27	93.399	99.0	99.0	plus	4.74e-174	606	replicon
000212__CP012556_00176|IncU	contig00055 len=3929 cov=18.1 corr=0 origname=NODE_55_length_3929_cov_18.059455_pilon sw=shovill-spades/1.1.0 date=20260916	1098	3929	1	1098	1645	2742	1098	33	96.995	100.0	100.0	minus	0.0	1845	replicon
NC_013284_00016|MPF_T	contig00015 len=118925 cov=17.9 corr=0 origname=NODE_15_length_118925_cov_17.932415_pilon sw=shovill-spades/1.1.0 date=20260916	914	118925	1	914	43827	46562	914	84	90.591	100.0	100.0	plus	0.0	1720	mate-pair-formation
NC_010726_00011|MPF_T	contig00015 len=118925 cov=17.9 corr=0 origname=NODE_15_length_118925_cov_17.932415_pilon sw=shovill-spades/1.1.0 date=20260916	358	118925	5	358	47560	48621	354	49	86.158	99.0	99.0	plus	2.3399999999999998e-176	541	mate-pair-formation
NC_005814_00013|MPF_T	contig00015 len=118925 cov=17.9 corr=0 origname=NODE_15_length_118925_cov_17.932415_pilon sw=shovill-spades/1.1.0 date=20260916	227	118925	1	227	48842	49522	227	7	96.916	100.0	100.0	plus	4.98e-130	402	mate-pair-formation
NC_010726_00014|MPF_T	contig00015 len=118925 cov=17.9 corr=0 origname=NODE_15_length_118925_cov_17.932415_pilon sw=shovill-spades/1.1.0 date=20260916	301	118925	1	301	49525	50427	301	3	99.003	100.0	100.0	plus	0.0	617	mate-pair-formation
