sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000001.1 Klebsiella pneumoniae strain P129 contig00001, whole genome shotgun sequence	548197	0.5741239007145241	35d4ff3e42e9f6a24c30545e7d72e65f	not tested	-	-	-	-	MPF_T,MPF_T,MPF_T,MPF_T	NC_010726_00014,NC_005814_00013,NC_010726_00011,NC_013284_00016	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000002.1 Klebsiella pneumoniae strain P129 contig00002, whole genome shotgun sequence	371397	0.5861571310484468	03e23dbb908277bcb280e6a9fcbf5a42	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000003.1 Klebsiella pneumoniae strain P129 contig00003, whole genome shotgun sequence	305659	0.5809218769936433	fe9e956fbd170e7f6ff1e538f167d15d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000004.1 Klebsiella pneumoniae strain P129 contig00004, whole genome shotgun sequence	289600	0.5653832872928177	1c238746ec6345b6a2690b534574f957	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000005.1 Klebsiella pneumoniae strain P129 contig00005, whole genome shotgun sequence	281231	0.5743854695961683	7a6825ff378ffa32866dbce2c04b5299	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000006.1 Klebsiella pneumoniae strain P129 contig00006, whole genome shotgun sequence	252545	0.5682155655427745	710665bb086f7bd30eaab87963c3c8f7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000007.1 Klebsiella pneumoniae strain P129 contig00007, whole genome shotgun sequence	206739	0.573941056114231	1d4665e9e6bb68b2aae8ae1ec2e013e3	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000008.1 Klebsiella pneumoniae strain P129 contig00008, whole genome shotgun sequence	205606	0.575737089384551	26407e1080f6c890fbbacb10daf9435b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000009.1 Klebsiella pneumoniae strain P129 contig00009, whole genome shotgun sequence	165712	0.5614499855170416	eb80becc28ba440bb5f0160fbc141b3a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000010.1 Klebsiella pneumoniae strain P129 contig00010, whole genome shotgun sequence	156054	0.5924423596960027	2d3f575418c2487f8e7dc827a93f31a0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000011.1 Klebsiella pneumoniae strain P129 contig00011, whole genome shotgun sequence	149666	0.5726617935937354	369007d0236b90c62d90152e0020337a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000012.1 Klebsiella pneumoniae strain P129 contig00012, whole genome shotgun sequence	108536	0.5776700818161716	5cc7bf91734cd578d4bcb70f7f0dc08d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000013.1 Klebsiella pneumoniae strain P129 contig00013, whole genome shotgun sequence	107944	0.5950307566886534	162533756d8d922e32679e00b73725eb	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000014.1 Klebsiella pneumoniae strain P129 contig00014, whole genome shotgun sequence	105450	0.5785301090564249	e238eb618c2d674b8b971ac3b83376ac	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000015.1 Klebsiella pneumoniae strain P129 contig00015, whole genome shotgun sequence	104641	0.5459523513727889	f190235d1b1d07de1609b1f318324d95	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000016.1 Klebsiella pneumoniae strain P129 contig00016, whole genome shotgun sequence	101748	0.5904096395015136	d4005484aca9694205fefd30bb02c8f8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000017.1 Klebsiella pneumoniae strain P129 contig00017, whole genome shotgun sequence	99243	0.5694104370081517	4323bb5340ba0dd3ab4bd143705aafd6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000018.1 Klebsiella pneumoniae strain P129 contig00018, whole genome shotgun sequence	95567	0.586060041646175	ade5afebf80310cb8a8aa520ef4fd707	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000019.1 Klebsiella pneumoniae strain P129 contig00019, whole genome shotgun sequence	90621	0.538716191611216	5becf3d2118844bbc683b9ef492aab08	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000020.1 Klebsiella pneumoniae strain P129 contig00020, whole genome shotgun sequence	86485	0.5723882754234838	082438cc8cce74eadfd5706abae298f5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000021.1 Klebsiella pneumoniae strain P129 contig00021, whole genome shotgun sequence	82885	0.580937443445738	706d9a96bcaf60c91406fb3724eb8a72	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000022.1 Klebsiella pneumoniae strain P129 contig00022, whole genome shotgun sequence	81995	0.5742545277151045	17556a42f4dcbbf177a2850306beb940	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghana_GCF_022968085.1	chromosome	-	-	NZ_JALJUX010000023.1 Klebsiella pneumoniae strain P129 contig00023, whole genome shotgun sequence	80255	0.5741199925238303	cd30a10edaaa1e3bf1a2560778fbd308	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
