qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
MK649828_00114|IncFII	contig00028 len=21690 cov=5.2 corr=0 origname=NODE_28_length_21690_cov_5.179845_pilon sw=shovill-spades/1.1.0 date=20260916	201	21690	1	201	7456	7656	201	1	99.502	100.0	100.0	minus	4.09e-102	366	replicon
CP024497_00001|IncFIB	contig00036 len=12622 cov=4.6 corr=0 origname=NODE_36_length_12622_cov_4.621609_pilon sw=shovill-spades/1.1.0 date=20260916	1089	12622	1	1089	7301	8389	1090	76	92.844	100.0	100.0	plus	0.0	1580	replicon
000221__NC_025130_00012|IncX3	contig00037 len=11507 cov=6.9 corr=0 origname=NODE_37_length_11507_cov_6.883831_pilon sw=shovill-spades/1.1.0 date=20260916	873	11507	1	873	6510	7382	873	0	100.0	100.0	100.0	plus	0.0	1613	replicon
000483__CP010949_00006|rep_cluster_1195	contig00040 len=8822 cov=10.1 corr=0 origname=NODE_40_length_8822_cov_10.087177_pilon sw=shovill-spades/1.1.0 date=20260916	948	8822	13	900	2000	2887	895	146	82.123	94.0	94.0	plus	0.0	754	replicon
000107__CP014778_00094|IncFIB	contig00045 len=7351 cov=6.1 corr=0 origname=NODE_45_length_7351_cov_6.106035_pilon sw=shovill-spades/1.1.0 date=20260916	1011	7351	1	1011	2312	3322	1011	96	90.504	100.0	100.0	minus	0.0	1336	replicon
000195__NC_013728_00014|IncQ1	contig00048 len=6889 cov=6.4 corr=0 origname=NODE_48_length_6889_cov_6.357439_pilon sw=shovill-spades/1.1.0 date=20260916	885	6889	1	849	1	849	849	0	100.0	96.0	96.0	minus	0.0	1568	replicon
NC_016980_00239|MOBH	contig00018 len=39918 cov=4.5 corr=2 origname=NODE_18_length_39918_cov_4.528059_pilon sw=shovill-spades/1.1.0 date=20260916	982	39918	1	982	20274	23204	982	114	87.882	100.0	100.0	plus	0.0	1701	relaxase
NC_021231_00058|MOBF	contig00028 len=21690 cov=5.2 corr=0 origname=NODE_28_length_21690_cov_5.179845_pilon sw=shovill-spades/1.1.0 date=20260916	1753	21690	1	1753	12345	17600	1753	108	93.782	100.0	100.0	minus	0.0	3220	relaxase
CP035180_00077|MOBF	contig00028 len=21690 cov=5.2 corr=0 origname=NODE_28_length_21690_cov_5.179845_pilon sw=shovill-spades/1.1.0 date=20260916	687	21690	1	251	17612	18337	252	23	86.508	37.0	100.0	minus	0.0	344	relaxase
NC_020552_00059|MOBP	contig00037 len=11507 cov=6.9 corr=0 origname=NODE_37_length_11507_cov_6.883831_pilon sw=shovill-spades/1.1.0 date=20260916	386	11507	1	386	114	1271	386	0	100.0	100.0	100.0	minus	0.0	757	relaxase
NC_013284_00016|MPF_T	contig00001 len=1432101 cov=15.2 corr=0 origname=NODE_1_length_1432101_cov_15.238465_pilon sw=shovill-spades/1.1.0 date=20260916	914	1432101	1	914	1334466	1337201	914	80	91.028	100.0	100.0	plus	0.0	1728	mate-pair-formation
NC_010726_00011|MPF_T	contig00001 len=1432101 cov=15.2 corr=0 origname=NODE_1_length_1432101_cov_15.238465_pilon sw=shovill-spades/1.1.0 date=20260916	358	1432101	5	358	1338192	1339253	354	46	87.006	99.0	99.0	plus	1.4e-174	536	mate-pair-formation
NC_005814_00013|MPF_T	contig00001 len=1432101 cov=15.2 corr=0 origname=NODE_1_length_1432101_cov_15.238465_pilon sw=shovill-spades/1.1.0 date=20260916	227	1432101	1	227	1339478	1340158	227	3	98.678	100.0	100.0	plus	1.81e-132	409	mate-pair-formation
NC_010726_00014|MPF_T	contig00001 len=1432101 cov=15.2 corr=0 origname=NODE_1_length_1432101_cov_15.238465_pilon sw=shovill-spades/1.1.0 date=20260916	301	1432101	1	301	1340161	1341063	301	3	99.003	100.0	100.0	plus	0.0	617	mate-pair-formation
NC_018107_00101|MPF_F	contig00018 len=39918 cov=4.5 corr=2 origname=NODE_18_length_39918_cov_4.528059_pilon sw=shovill-spades/1.1.0 date=20260916	480	39918	1	480	13583	15022	480	18	96.25	100.0	100.0	minus	0.0	923	mate-pair-formation
NC_016980_00240|MPF_F	contig00018 len=39918 cov=4.5 corr=2 origname=NODE_18_length_39918_cov_4.528059_pilon sw=shovill-spades/1.1.0 date=20260916	708	39918	1	708	23197	25320	708	1	99.859	100.0	100.0	plus	0.0	1480	mate-pair-formation
