qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
AJ001708|MOBP	contig00061 len=6881 cov=243.2 corr=0 origname=NODE_61_length_6881_cov_243.225773_pilon sw=shovill-spades/1.1.0 date=20260916	175	6881	1	175	5964	6138	175	1	99.429	100.0	100.0	plus	1.01e-87	318	oriT
CP016722|MOB_unknown	contig00070 len=4536 cov=645.5 corr=0 origname=NODE_70_length_4536_cov_645.464342_pilon sw=shovill-spades/1.1.0 date=20260916	218	4536	1	218	2518	2734	221	17	89.14	100.0	100.0	plus	1.32e-72	268	oriT
CP016722|MOB_unknown	contig00085 len=2390 cov=1223.0 corr=0 origname=NODE_85_length_2390_cov_1223.030448_pilon sw=shovill-spades/1.1.0 date=20260916	218	2390	1	179	472	648	179	26	84.358	82.0	82.0	plus	2.96e-44	174	oriT
000221__NC_025130_00012|IncX3	contig00035 len=35585 cov=23.2 corr=0 origname=NODE_35_length_35585_cov_23.219558_pilon sw=shovill-spades/1.1.0 date=20260916	873	35585	1	873	4089	4961	873	0	100.0	100.0	100.0	minus	0.0	1613	replicon
CP024497_00001|IncFIB	contig00048 len=13799 cov=37.9 corr=0 origname=NODE_48_length_13799_cov_37.879341_pilon sw=shovill-spades/1.1.0 date=20260916	1089	13799	27	1089	92	1154	1064	68	93.421	98.0	98.0	plus	0.0	1576	replicon
000107__CP014778_00094|IncFIB	contig00050 len=12486 cov=35.0 corr=0 origname=NODE_50_length_12486_cov_35.005405_pilon sw=shovill-spades/1.1.0 date=20260916	1011	12486	1	1011	3965	4975	1011	98	90.307	100.0	100.0	minus	0.0	1325	replicon
CP017721_00179|rep_cluster_2183	contig00051 len=11048 cov=32.9 corr=0 origname=NODE_51_length_11048_cov_32.944693_pilon sw=shovill-spades/1.1.0 date=20260916	864	11048	37	864	8104	8931	830	144	82.169	96.0	96.0	minus	0.0	710	replicon
000128__CP023916|IncFII	contig00051 len=11048 cov=32.9 corr=0 origname=NODE_51_length_11048_cov_32.944693_pilon sw=shovill-spades/1.1.0 date=20260916	234	11048	1	234	8966	9199	234	0	100.0	100.0	100.0	plus	4.78e-122	433	replicon
KU302809_00001|rep_cluster_2335	contig00061 len=6881 cov=243.2 corr=0 origname=NODE_61_length_6881_cov_243.225773_pilon sw=shovill-spades/1.1.0 date=20260916	606	6881	1	605	5435	6041	615	46	89.593	99.0	99.0	minus	0.0	765	replicon
CP041116_00002|ColRNAI_rep_cluster_1987	contig00070 len=4536 cov=645.5 corr=0 origname=NODE_70_length_4536_cov_645.464342_pilon sw=shovill-spades/1.1.0 date=20260916	519	4536	6	515	2051	2569	519	29	92.678	98.0	98.0	minus	0.0	739	replicon
CP041116_00002|ColRNAI_rep_cluster_1987	contig00085 len=2390 cov=1223.0 corr=0 origname=NODE_85_length_2390_cov_1223.030448_pilon sw=shovill-spades/1.1.0 date=20260916	519	2390	38	519	6	490	488	28	92.418	93.0	93.0	minus	0.0	688	replicon
JN420336|IncHI1B	contig00092 len=2224 cov=30.2 corr=0 origname=NODE_92_length_2224_cov_30.184248_pilon sw=shovill-spades/1.1.0 date=20260916	570	2224	1	570	841	1410	570	0	100.0	100.0	100.0	plus	0.0	1053	replicon
CP024554_00008|ColRNAI_rep_cluster_1987	contig00122 len=714 cov=435.7 corr=0 origname=NODE_132_length_714_cov_435.690209_pilon sw=shovill-spades/1.1.0 date=20260916	411	714	6	411	6	408	406	27	92.611	99.0	99.0	minus	2.95e-166	580	replicon
CP035180_00077|MOBF	contig00025 len=73591 cov=33.4 corr=0 origname=NODE_25_length_73591_cov_33.355769_pilon sw=shovill-spades/1.1.0 date=20260916	687	73591	1	251	45912	46667	252	18	92.46	37.0	100.0	plus	0.0	380	relaxase
NC_021231_00058|MOBF	contig00025 len=73591 cov=33.4 corr=0 origname=NODE_25_length_73591_cov_33.355769_pilon sw=shovill-spades/1.1.0 date=20260916	1753	73591	1	1753	46679	51934	1753	68	96.064	100.0	100.0	plus	0.0	3302	relaxase
NC_016980_00239|MOBH	contig00029 len=50408 cov=34.3 corr=0 origname=NODE_29_length_50408_cov_34.257229_pilon sw=shovill-spades/1.1.0 date=20260916	982	50408	1	982	24051	26996	982	6	99.389	100.0	100.0	plus	0.0	1934	relaxase
NC_020552_00059|MOBP	contig00035 len=35585 cov=23.2 corr=0 origname=NODE_35_length_35585_cov_23.219558_pilon sw=shovill-spades/1.1.0 date=20260916	386	35585	1	386	10200	11357	386	0	100.0	100.0	100.0	plus	0.0	757	relaxase
NC_010726_00014|MPF_T	contig00023 len=84184 cov=38.3 corr=0 origname=NODE_23_length_84184_cov_38.268132_pilon sw=shovill-spades/1.1.0 date=20260916	301	84184	1	301	42687	43589	301	3	99.003	100.0	100.0	minus	0.0	617	mate-pair-formation
NC_005814_00013|MPF_T	contig00023 len=84184 cov=38.3 corr=0 origname=NODE_23_length_84184_cov_38.268132_pilon sw=shovill-spades/1.1.0 date=20260916	227	84184	1	227	43592	44272	227	3	98.678	100.0	100.0	minus	1.8300000000000003e-132	409	mate-pair-formation
NC_010726_00011|MPF_T	contig00023 len=84184 cov=38.3 corr=0 origname=NODE_23_length_84184_cov_38.268132_pilon sw=shovill-spades/1.1.0 date=20260916	358	84184	5	358	44497	45558	354	45	87.288	99.0	99.0	minus	2.68e-175	538	mate-pair-formation
NC_013284_00016|MPF_T	contig00023 len=84184 cov=38.3 corr=0 origname=NODE_23_length_84184_cov_38.268132_pilon sw=shovill-spades/1.1.0 date=20260916	914	84184	1	914	46549	49284	914	80	91.028	100.0	100.0	minus	0.0	1728	mate-pair-formation
