qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NZ_CP016498|MOBF	JAOURE010000088.1 Klebsiella pneumoniae strain P157 contig00153, whole genome shotgun sequence	268	8759	1	268	2907	3174	268	0	100.0	100.0	100.0	plus	6.83e-141	496	oriT
AJ001708|MOBP	JAOURE010000116.1 Klebsiella pneumoniae strain P157 contig00198, whole genome shotgun sequence	175	3017	1	175	1957	2131	175	1	99.429	100.0	100.0	minus	9.89e-88	318	oriT
000126__FO834904|IncFII	JAOURE010000063.1 Klebsiella pneumoniae strain P157 contig00114, whole genome shotgun sequence	228	19764	1	228	16827	17055	232	16	90.086	100.0	100.0	minus	2.24e-80	294	replicon
000124__KP125893_00142|IncFII	JAOURE010000064.1 Klebsiella pneumoniae strain P157 contig00116, whole genome shotgun sequence	207	19227	1	207	17449	17655	207	1	99.517	100.0	100.0	plus	1.94e-105	377	replicon
AF250878|IncFIA	JAOURE010000073.1 Klebsiella pneumoniae strain P157 contig00130, whole genome shotgun sequence	388	16042	1	388	13976	14363	388	12	96.907	100.0	100.0	minus	0.0	651	replicon
KF954760|IncFII	JAOURE010000077.1 Klebsiella pneumoniae strain P157 contig00134, whole genome shotgun sequence	295	14515	5	295	9342	9632	291	26	91.065	99.0	99.0	minus	2.8400000000000003e-110	394	replicon
CP042629_00001|IncFIA	JAOURE010000082.1 Klebsiella pneumoniae strain P157 contig00143, whole genome shotgun sequence	543	10667	1	449	9419	9867	449	33	92.65	83.0	83.0	minus	0.0	647	replicon
AP001918|IncFIC	JAOURE010000082.1 Klebsiella pneumoniae strain P157 contig00143, whole genome shotgun sequence	499	10667	1	499	9865	10365	502	76	84.064	100.0	100.0	plus	3.69e-136	481	replicon
000107__CP014778_00094|IncFIB	JAOURE010000089.1 Klebsiella pneumoniae strain P157 contig00154, whole genome shotgun sequence	1011	8311	1	1011	3101	4111	1011	94	90.702	100.0	100.0	plus	0.0	1347	replicon
000095__NZ_CP014273_00094|IncFIB	JAOURE010000094.1 Klebsiella pneumoniae strain P157 contig00162, whole genome shotgun sequence	978	7255	1	978	2138	3115	978	11	98.875	100.0	100.0	plus	0.0	1746	replicon
000153__NC_019087_00001|IncN	JAOURE010000097.1 Klebsiella pneumoniae strain P157 contig00168, whole genome shotgun sequence	720	6368	1	720	58	777	720	3	99.583	100.0	100.0	minus	0.0	1314	replicon
CP024554_00008|ColRNAI_rep_cluster_1987	JAOURE010000106.1 Klebsiella pneumoniae strain P157 contig00181, whole genome shotgun sequence	411	4170	3	411	1058	1466	409	27	93.399	99.0	99.0	plus	4.76e-174	606	replicon
KU302809_00001|rep_cluster_2335	JAOURE010000116.1 Klebsiella pneumoniae strain P157 contig00198, whole genome shotgun sequence	606	3017	1	605	2054	2660	615	46	89.593	99.0	99.0	plus	0.0	765	replicon
NC_017627_00068|MOBF	JAOURE010000044.1 Klebsiella pneumoniae strain P157 contig00081, whole genome shotgun sequence	1756	41011	1	1756	31041	36158	1756	38	94.989	100.0	100.0	plus	0.0	3245	relaxase
CP035180_00077|MOBF	JAOURE010000063.1 Klebsiella pneumoniae strain P157 contig00114, whole genome shotgun sequence	687	19764	1	251	5622	6374	251	19	92.43	37.0	98.0	plus	0.0	372	relaxase
NC_021231_00058|MOBF	JAOURE010000063.1 Klebsiella pneumoniae strain P157 contig00114, whole genome shotgun sequence	1753	19764	1	1753	6386	11644	1753	59	96.634	100.0	100.0	plus	0.0	3311	relaxase
CP035180_00077|MOBF	JAOURE010000064.1 Klebsiella pneumoniae strain P157 contig00116, whole genome shotgun sequence	687	19227	1	251	6259	7014	252	18	92.46	37.0	99.0	plus	0.0	380	relaxase
NC_021231_00058|MOBF	JAOURE010000064.1 Klebsiella pneumoniae strain P157 contig00116, whole genome shotgun sequence	1753	19227	1	1753	7026	12281	1753	84	95.151	100.0	100.0	plus	0.0	3266	relaxase
NC_015599_00019|MOBF	JAOURE010000088.1 Klebsiella pneumoniae strain P157 contig00153, whole genome shotgun sequence	1080	8759	1	1059	5183	8359	1059	3	99.717	98.0	98.0	plus	0.0	2031	relaxase
NC_013284_00016|MPF_T	JAOURE010000002.1 Klebsiella pneumoniae strain P157 contig00002, whole genome shotgun sequence	914	312634	1	914	282130	284865	914	80	91.028	100.0	100.0	plus	0.0	1728	mate-pair-formation
NC_010726_00011|MPF_T	JAOURE010000002.1 Klebsiella pneumoniae strain P157 contig00002, whole genome shotgun sequence	358	312634	5	358	285856	286917	354	45	87.288	99.0	99.0	plus	2.64e-175	538	mate-pair-formation
NC_005814_00013|MPF_T	JAOURE010000002.1 Klebsiella pneumoniae strain P157 contig00002, whole genome shotgun sequence	227	312634	1	227	287142	287822	227	3	98.678	100.0	100.0	plus	1.8e-132	409	mate-pair-formation
NC_010726_00014|MPF_T	JAOURE010000002.1 Klebsiella pneumoniae strain P157 contig00002, whole genome shotgun sequence	301	312634	1	301	287825	288727	301	3	99.003	100.0	100.0	plus	0.0	617	mate-pair-formation
NC_022651_00077|MPF_F	JAOURE010000044.1 Klebsiella pneumoniae strain P157 contig00081, whole genome shotgun sequence	104	41011	2	104	7623	7931	103	0	100.0	99.0	99.0	plus	3.17e-66	213	mate-pair-formation
