qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
KJ009324|MOBP	contig00048 len=4938 cov=900.6 corr=0 origname=NODE_48_length_4938_cov_900.626417_pilon sw=shovill-spades/1.1.0 date=20260918	175	4938	1	175	4377	4551	175	8	95.429	100.0	100.0	minus	4.71e-76	279	oriT
CP024497_00001|IncFIB	contig00019 len=109933 cov=18.7 corr=0 origname=NODE_19_length_109933_cov_18.650381_pilon sw=shovill-spades/1.1.0 date=20260918	1089	109933	1	1089	32607	33695	1090	78	92.661	100.0	100.0	minus	0.0	1568	replicon
JN420336|IncHI1B	contig00025 len=89096 cov=18.0 corr=0 origname=NODE_25_length_89096_cov_17.987900_pilon sw=shovill-spades/1.1.0 date=20260918	570	89096	1	570	76613	77182	570	1	99.825	100.0	100.0	minus	0.0	1048	replicon
000124__KP125893_00142|IncFII	contig00034 len=46039 cov=17.1 corr=0 origname=NODE_34_length_46039_cov_17.141576_pilon sw=shovill-spades/1.1.0 date=20260918	207	46039	1	207	44113	44319	207	1	99.517	100.0	100.0	plus	1.96e-105	377	replicon
JN626286|IncL/M	contig00035 len=40644 cov=21.9 corr=0 origname=NODE_35_length_40644_cov_21.917010_pilon sw=shovill-spades/1.1.0 date=20260918	661	40644	1	661	8208	8868	661	0	100.0	100.0	100.0	minus	0.0	1221	replicon
000107__CP014778_00094|IncFIB	contig00041 len=18378 cov=18.3 corr=0 origname=NODE_41_length_18378_cov_18.282676_pilon sw=shovill-spades/1.1.0 date=20260918	1011	18378	1	1011	12466	13476	1011	94	90.702	100.0	100.0	minus	0.0	1347	replicon
CP000974_00005|rep_cluster_2358	contig00048 len=4938 cov=900.6 corr=0 origname=NODE_48_length_4938_cov_900.626417_pilon sw=shovill-spades/1.1.0 date=20260918	528	4938	125	496	1	349	377	30	83.289	70.0	94.0	plus	1.1800000000000001e-86	316	replicon
KU302809_00001|rep_cluster_2335	contig00048 len=4938 cov=900.6 corr=0 origname=NODE_48_length_4938_cov_900.626417_pilon sw=shovill-spades/1.1.0 date=20260918	606	4938	1	464	4474	4938	467	25	93.576	77.0	90.0	plus	0.0	691	replicon
CP041116_00002|ColRNAI_rep_cluster_1987	contig00051 len=4131 cov=1521.1 corr=0 origname=NODE_51_length_4131_cov_1521.064261_pilon sw=shovill-spades/1.1.0 date=20260918	519	4131	348	519	1	172	173	2	97.688	33.0	92.0	plus	1.51e-80	296	replicon
KJ541069_00010|rep_cluster_2335	contig00051 len=4131 cov=1521.1 corr=0 origname=NODE_51_length_4131_cov_1521.064261_pilon sw=shovill-spades/1.1.0 date=20260918	267	4131	1	86	4046	4131	86	1	98.837	32.0	90.0	plus	4.76e-38	154	replicon
